wikipedia_movie_id,movie_name,release_date,all_genres,overview
25974893,The Comeback Trail,1982,Comedy,{{Expand section}} Two down on their luck film producers decide to make a Western film with an old actor in hopes that he will die and they will collect the insurance money.
8414299,The Attic,2006,"Thriller, Horror","Emma  has a strong aversion towards her family’s new house, especially the attic. After moving in, she becomes miserable and reclusive. The rest of her family also seems unhappy and unsettled. The situation escalates one day when Emma is in the attic alone. All of a sudden someone who looks exactly like Emma attacks her viciously. Emma is convinced that someone or something is haunting her, and she refuses to leave her house until she can piece the puzzle together, with the assistance of John Trevor , a sympathetic detective. Eventually, Emma suspects her parents of hiding skeletons in the closet from the family’s past and practising Dark Magic Rituals using symbols Wicca seemingly stole from satanism. As the clues pile up, she discovers that she did once have a sister named Beth, who died twelve days after Emma was born. Emma realizes that this identical apparition may actually be Beth returning to life. Emma witnesses Beth killing her brother and the police suspect it was really Emma. John Trevor comes to the rescue when Beth is trying to strangle Emma to death, leaving her with a gun. She suspects that her father was to blame and murders both her parents. When the police arrive, Emma threatens ""John Trevor"" who now claims to be a paramedic, with the gun he gave her. As she points the gun at Trevor, she is really pointing the gun at herself and pulls the trigger, blowing her own brains out. The police later discuss about the incident and Emma's former psychiatrist explains that Beth and Trevor were only in her mind. Another officer mentions that the previous owner of the house mysteriously died. The psychiatrist says that houses do not kill people, but in this case it did. The movie ends with a new family looking to buy the house. As a young girl about Emma's age explores the attic, ""John Trevor,"" now a real estate agent called Ron, appears behind her and says they will be seeing a lot of each other."
28796355,Gonks Go Beat,1965,"Musical, Comedy","At a point in the distant future, the inhabitants of Planet Earth have become divided into two factions who despise each other. In Beatland live the hip and trendy people who have long hair, dress in turtlenecks, jeans and sunglasses and listen to cool beat music. Their counterparts on Ballad Isle keep their hair short and tidy, wear button-down shirts and pressed slacks or floral dresses and twinsets, and listen exclusively to crooners. A musical competition is staged annually between the two sides, overseen by the neutral and powerful record company executive Mr. A&R . For the rest of the year they regard each other with suspicion and antipathy, although they are not above sneaking into each other's territory to steal musical ideas. Meanwhile, the overlords of a far-flung galaxy have been observing the squabblings and goings-on on Planet Earth with increasing exasperation. Finally, their patience with the earthlings is pushed beyond its limit and they decide to send their bungling representative Wilco Roger  to sort the situation out and bring about a reconciliation between the parties, with the warning that if he fails he'll be exiled to Planet Gonk, a fearsome and dreaded place where spherical furry soft toys shuffle around all day listening to Dixieland jazz. On arrival, Wilco Roger makes contact with Mr. A&R. They're aware of a forbidden romance between a Beatland boy and a Ballad Isle girl, and use a combination of Mr. A&R's cunning and Wilco Roger's mystical powers to enable the couple to get together without fear and come up with a musical composition which will be acceptable to both sides. The time for the annual competition comes around, and the inhabitants are appalled when the Beatland boy and the Ballad Isle girl take to the stage together. But their song ""Takes Two to Make Love"" turns out to be the hit of the night, loved by both sides of the musical divide. Mr. A&R declares it the unquestioned winner and orders an end to the silliness as it has now been proved that everyone can live together and learn to appreciate all types of music."
20425100,Night and Day,2008,"Drama, World cinema","Seong-nam, a painter in his forties, travels to Paris to escape arrest for smoking marijuana, leaving his wife behind in Korea. While there he meets an old girlfriend, Min-seon, and is introduced to a small community of Korean artists."
92608,Witness for the Prosecution,1958-02-06,"Crime Fiction, Thriller, Black-and-white, Mystery, Drama, Crime Thriller, Courtroom Drama","Sir Wilfrid Robarts , a master barrister in ill health, takes Leonard Vole  on as a client, over the protestations of his private nurse, Miss Plimsoll , that the doctor had told him to stay away from criminal cases. Vole is accused of murdering Mrs. Emily French , a rich, older widow who had become enamored of him, going so far as to make him the main beneficiary of her will. Strong circumstantial evidence all points to Vole as the killer. When Sir Wilfrid speaks with Vole's German wife Christine , he finds her rather cold and self-possessed, but she does provide an alibi. Therefore, he is greatly surprised when she is called as a witness for the prosecution. While a wife cannot testify against her husband, it is shown that Christine was in fact still married to another man when she wed Leonard . She testifies that Leonard admitted to her that he had killed Mrs. French, and that her conscience forced her to finally tell the truth. During the trial , Sir Wilfrid is contacted by a mysterious woman, who  provides him with letters written by Christine herself to a mysterious lover named Max. The affair revealed by this correspondence gives Christine such a strong motive to have lied that the jury finds Leonard not guilty. However, Sir Wilfrid is troubled by the verdict. His instincts tell him that it was too tidy, too neat--""too symmetrical!"" And so it proves. By chance, he and Christine are left alone in the courtroom. She takes the opportunity to take credit for the whole thing. When she heard him say at the beginning that a wife's testimony would not be convincing, she decided to set it up so that hers would be given for the prosecution and then be discredited. An ex-actress, she had played the part of the mystery woman so well that Sir Wilfrid did not recognize her when he negotiated for the letters. She knew that Leonard was guilty; her testimony was the truth. Her letters are a fraud &mdash; Max never existed. When asked why she did it, she confesses that she loves Leonard. Leonard appears and, now protected by double jeopardy, nonchalantly confirms what Christine had said. A young woman  then rushes into his arms. When he admits that he and the young woman are going away together, Christine kills him with a knife in a fit of fury. Sir Wilfrid remarks that Christine did not murder Leonard, but that she ""executed him"". Miss Plimsoll then cancels Sir Wilfrid's holiday, realizing that he cannot resist taking charge of Christine's defense."
7160018,Life Before Her Eyes,2007-09-08,"Thriller, Time travel, Drama, Indie, Film adaptation","Imaginative, impetuous, and wild Diana McFee  cannot wait for her adult life to begin. While awaiting the final days of high school in the lush springtime, Diana tests her limits with sex and drugs as her more conservative friend Maureen  watches with concern. Then the two teens are involved in a Columbine-like shooting incident at their school and are forced to make an impossible choice. The film mostly focuses on Diana’s adulthood . She leads an apparently normal life as an art history university professor. She has a daughter, Emma , and she’s married to the professor who once gave a speech in her school about the power of visualization, how one can shape one’s own future in this way. We learn, however, that she feels guilty about something that doesn’t let her sleep. One day she gets a call from Emma’s school. The nuns who run the school complain about her behavior. Later, at an ice cream parlor, Diana asks Emma not to hide any more as she is always doing. “You hate me,” Emma replies to her mother's reproaches. They leave the parlor abruptly and as they’re about to get into the car, Diana sees her husband, the professor, with another woman. She hesitates about confronting him and instead remains in the middle of the street where she is hit by a pickup truck. On her way to the hospital she imagines that blood is escaping from her body. However in fact she hasn’t been hurt by the accident. What is happening is that she is remembering the complications she had following an abortion in her high school days. The day of the 15th anniversary of the shooting, a memorial is held at the school. Diana drives in front of the school several times until she finally decides to stop and bring in some flowers. As she enters the school she’s asked whether she’s one of the survivors. She smiles and walks inside, first leaving flowers on some desks and then moving on to the rest rooms where one of the shootings took place. At that moment she gets a call from Emma’s school; Emma is missing. Diana is told that a pink piece of clothing has been found in the woods. She drives there and walks through the woods, shouting out her daughter's name. Emma appears before Diana’s eyes for a moment but then vanishes almost as soon as she has appeared. Back to the rest rooms in the school where Diana left the flowers. This is the place where she and Maureen were forced to decide which of them should survive. Maureen had offered herself first, but the shooter, Michael Patrick , asks Diana why it shouldn't be her; she agrees and asks to be killed. She is then shot and dies. All that we’ve seen earlier in the film is what Diana had dreamed her adult life would be like. Emma is the girl she never had, the girl that she aborted. As the film ends Diana is asked once again if she is a survivor and she replies ""No"" with a smile, with a sense of relief that she did the right thing by dying and having her friend live her life."
2250713,'68,1988,"Drama, Period piece, Family Drama, Coming of age","The father escaped the Soviet invasion of Budapest and now runs a Hungarian restaurant that is not doing well financially. The younger of his two sons is gay and struggling with coming out. His dad disowns him when he finally does. The older son is involved in the counterculture, gets kicked out of college, buys a motorcycle, starts dating a Maoist, and is also disowned by his father. The older of the sons runs afoul of an outlaw motorcycle club; the younger of the two sons gets drafted but is rejected because of his homosexuality. The older one joins his younger brother in a gay rights protest. Major events of the year such as the assassination of Martin Luther King and the assassination of Robert F. Kennedy are interspersed throughout the plot and depicted in the film using stock footage."
527414,Cannibal! The Musical,1996,"Parody, Horror, Indie, Musical comedy, Cult, Musical, Comedy, Hybrid Western, Horror Comedy","The film begins with a reenactment of the gruesome events of cannibalism as described by the prosecuting attorney during Alferd Packer's trial in 1883. Packer insists that things happened differently than what has been recounted, and begins to tell his story to journalist Polly Pry  through flashback. In 1873, a group of miners in Provo, Utah hear of new gold discoveries in Breckenridge and decide to travel to Colorado Territory to stake a claim. After the original guide, Lucky Larry, dies from a lightning strike, Packer is nominated as the replacement since he claimed knowledge of the area. He and his trusty horse, Liane, set off with five miners, Shannon Wilson Bell , James Humphrey , Frank Miller , George Noon , and Israel Swan , on what Packer estimates will be a three-week journey. Four weeks later, they become convinced they are lost. At a nearby frontier post, they run into a group of three fur trappers, Loutzenheiser , Nutter , and their diminutive leader, Frenchy Cabazon . The trappers despise the miners, “diggers” as they call them, yet seem to like Packer’s horse. They tell the group they are heading towards Saguache. The next day, Packer wakes up to discover his horse and friend, Liane, is missing. The men press on and cross the Green River near the Utah border. The group asks Packer if there are any other big rivers that they will have to cross to which he replies, “Oh no, just the Colorado River.” Eventually, the Packer party is spotted by two “Nihonjin” Indians . They are taken back to the tribe where they learn the trappers are waiting for the winter storm to pass as recommended by the chief . The story returns to the present time, where Polly continues her research of Packer’s story by herself. The next day, Packer is sentenced to death by hanging. Polly visits Packer once again in prison, where he continues his story, and she reveals her growing affection for him through song. The men set out in the wilderness after Packer learns the trappers have already left. The group begins to suspect that Packer is really only interested in following the trappers to find his horse. They soldier on until they encounter the foreboding Cyclops  who recalls how a Union soldier shot out his eye in the Civil War. He realizes Packer's men are not “Southern boys” after they can not finish the lyrics to ""Dixie"". They escape and the badly frostbitten Swan tries to cheer everybody up with a song about building a snowman. They soon run out of food, resorting to eating their shoes as they become lost in the snow covered Rocky Mountains. Out of frustration, Bell shoots Swan in the head because he does not appreciate his  Pollyanna-esque perspective on their predicament. The men discuss their dire situation that night over the fire, speaking of the cannibalism that the Donner Party had to resort to in California. They decide to consume the body of their dead companion, but “not the butt”. Only Bell refuses. A few more days leads to talk of sacrificing one of their own. Packer convinces them for one more chance for a scouting trip, but when he returns, Bell has killed the others, claiming they planned to kill and eat him after Packer left. Packer is forced to kill Bell after threatening to turn him in, realizing he has gone insane. Arriving in Saguache sometime later, Packer finds Liane, who has taken to Frenchy Cabazon. The sheriff of Saguache eventually finds and arrests Packer for cannibalism during a bar-fight between him and the trappers. On the day of Packer's execution he is saved at the gallows by the effort of Liane and Polly. They had gotten a stay of execution from the governor which states that Packer could not be convicted of a state crime since Colorado was not a state at the time of the incident. Cabazon tries to trigger the gallows, since the townsfolk came to see bloodshed. The Indian chief saves Packer by cutting his rope with a katana before beheading Cabazon, satisfying the crowd's bloodlust. Polly and Packer kiss only to be frightened by a still-alive Bell."
16694193,Alfie Darling,1976,"Romantic comedy, Sex comedy, Comedy-drama, Drama, Comedy, Romance Film","After experiencing a failure in the ending of the last film, Alfie - now working as a 1970s' cross London-France HGV driver alongside Bakey  - decides to get back to his old self. And his new occupation provides new opportunities to do so. The film starts as Bakey drives the truck through customs in France, while Alfie has sex with an English hitchhiker  in the back until the customs' officer catches her topless. When arriving at their destination, he spots a woman  in a sports car. They start racing until the police breaks it up. Alfie soon finds comfort by flirting with the married waitress Louise , who takes him to her apartment. During the night, her husband returns from his fishing trip, but Bakey, outside in the truck, sounds the horn as a warning. Alfie later catches up with the woman from the race and learns her name is Abby and that she is a sophisticated magazine editor. When she turns him down, he decides he proceeds to stalk her until, after another car chase, she finally agrees to a date. When Alfie gets his wish, he can't perform and leaves her apartment in anger. This failure causes him to use his little black book to contact various women with whom he has a casual relationship. However, some of these encounters lead him into trouble. He faces the consequences of an encounter with Norma ([[Sheila White  and the wrath of the husband of older Fay , when said husband discovers Alfie's wallet under their bed. With Fay's encouragement, Alfie apologizes to Abby about leaving her apartment in a huff and asks her for a proper dinner. He tells her what he never says to his lovers - that he loves her and wants her to marry him. She agrees. She then has to take a quick work related flight. When Abby leaves for the airport, Alfie is bed-ridden due to back pains. When his older neighbor, Claire , hears from another neighbor that Alfie can't move, she lets herself into his apartment and serves him tea. When Alfie comments on Claire's perfume, she reveals her true feelings for him by suddenly entering his bed and taking her top off. She ignores his protests but then her attempts to mount him fix his back, and he escapes before she succeeds in making actual intimate contact. Alfie catches Abby before her flight takes off, and they decide to marry the following day. In the morning Alfie waits for her in the airport, not having heard that her plane has crashed without any survivors. Upon learning the news Alfie drives to the crash site and cries over the wreckage."
27297304,Danny Boy,1934-07,Musical,A theatrical couple find their relationship strained when the wife is far more successful than her husband.
31673401,Ek Tha Tiger,2012-08-15,"Thriller, Romance Film, Action, Bollywood","The film begins with an agent code-named ""Tiger""  conducting a mission in northern Iraq. India's top spy and an officer of India's Research and Analysis Wing , Tiger is forced to kill one of his own men who has defected to Pakistan’s Inter-Services Intelligence . He subsequently kills many ISI agents in his escape. Then,Tiger returns to his house where he has been treated as a strange person because of his privacy and introvert nature in his neighbourhood. Tiger reports to his boss, Shenoy  in New Delhi. He is immediately sent on a mission to Dublin, Ireland, to observe a scientist of Indian origin, Professor Anwar Jamaal Kidwai , who teaches at the Trinity College and is suspected of sharing his findings with the Pakistan defense establishment. Fellow RAW agent Gopi  accompanies Tiger on this mission. Tiger meets the scientist but fails to spend enough time for his observance, and instead begins to spend time with scientist's caretaker Zoya , who is studying at a local dance academy. He tries to befriend Zoya in desire of information, and he begins to discover his human side as he grows closer to her. Despite repeated warnings from Gopi not to fall in love, Tiger later falls in love with Zoya, Before expressing his feelings to her during his visit to dance academy he founds that in reality she is the ISI Agent and refuses to cheat his country. In spite of killing, he let her go back. By a message sent to him from Zoya they meet newly during an peace conference of Government from all over the world in Istanbul and decide to leave everything for their love and fooles their respective agencies by taken their flight to Cuba while they earlier revealed it to be Kazakhstan. Then in Cuba, They again traced by their agencies and zoya is caught by ISI agents. Tiger meets Gopi who is already searching him and make him agree to save Zoya from ISI agents and finally they succeed in stiff run and chase battle. Tiger and Zoya then escape by a plane. After that, Tiger calls Shenoy. Shenoy tell them that they will find both but Tiger give him the message that ""They will return the day when Pakistan and India will not have the need of ISI and RAW"", which is the Principal message of the Movie."
